,Date, Open, High, Low, Close, Volume
1572,2012-01-11,60.3829,60.4071,59.9014,60.3643,53798059
1573,2012-01-10,60.8443,60.8571,60.2143,60.4629,64581762
1574,2012-01-09,60.7857,61.1071,60.1929,60.2471,98505792
1575,2012-01-06,59.9671,60.3929,59.8886,60.3429,79596412
1576,2012-01-05,59.2786,59.7929,58.9529,59.7186,67816805
1577,2012-01-04,58.5714,59.24,58.4686,59.0629,65061108
1578,2012-01-03,58.4857,58.9286,58.4286,58.7471,75564699
1579,2011-12-30,57.6443,58.04,57.6414,57.8571,44943710
1580,2011-12-29,57.6286,57.95,57.2157,57.8743,54039041
1581,2011-12-28,58.1271,58.3214,57.3343,57.52,57214227
1582,2011-12-27,57.5857,58.4414,57.5743,58.0757,66308613
1583,2011-12-23,57.0986,57.6557,57.0707,57.6186,67401964
1584,2011-12-22,56.7143,57.0186,56.5857,56.9357,50589112
1585,2011-12-21,56.67,56.7571,56.0014,56.635,65736678
1586,2011-12-20,55.3943,56.5857,55.3229,56.5643,84350728
1587,2011-12-19,54.6386,54.9786,54.3543,54.6014,58881914
1588,2011-12-16,54.3371,54.8786,54.2243,54.4314,105394401
1589,2011-12-15,54.7614,54.82,54.0443,54.1343,64112125
1590,2011-12-14,55.2429,55.34,53.9543,54.3129,101788680
1591,2011-12-13,56.1429,56.4857,55.3,55.5443,84784203
1592,2011-12-12,55.9543,56.2714,55.6357,55.9771,75266366
1593,2011-12-09,56.1214,56.2914,55.8614,56.2314,74285785
1594,2011-12-08,55.9214,56.5,55.7471,55.8086,94089051
1595,2011-12-07,55.7043,55.8486,55.2518,55.5843,76249929
1596,2011-12-06,56.0729,56.3757,55.6257,55.85,70951013
1597,2011-12-05,56.2129,56.63,55.7697,56.1443,89342127
1598,2011-12-02,55.69,56.2328,55.5114,55.6714,94818290
1599,2011-12-01,54.6486,55.5714,54.3929,55.4186,96794838
1600,2011-11-30,54.47,54.6109,54.0429,54.6,101516702
1601,2011-11-29,53.6914,54.1186,52.8857,53.3143,94007858
